Package,LibPath,Version,Priority,Built
abind,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.4-5,NA,3.6.0
acepack,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.4.1,NA,3.6.0
AER,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.2-8,NA,3.6.2
arm,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.10-1,NA,3.6.1
askpass,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.1,NA,3.6.0
assertthat,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.2.1,NA,3.6.0
backports,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.1.4,NA,3.6.0
base64enc,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.1-3,NA,3.6.0
beeswarm,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.2.3,NA,3.6.0
BH,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.69.0-1,NA,3.6.0
bitops,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.0-6,NA,3.6.0
broom,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.5.2,NA,3.6.0
callr,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.2.0,NA,3.6.0
car,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.0-6,NA,3.6.0
carData,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.0-3,NA,3.6.1
caret,C:/Users/aturnbu2/Documents/R/win-library/3.6,6.0-84,NA,3.6.2
caTools,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.17.1.3,NA,3.6.2
cellranger,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.1.0,NA,3.6.0
checkmate,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.9.3,NA,3.6.0
cli,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.1.0,NA,3.6.0
clipr,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.6.0,NA,3.6.0
clisymbols,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.2.0,NA,3.6.0
cmprsk,C:/Users/aturnbu2/Documents/R/win-library/3.6,2.2-8,NA,3.6.0
coda,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.19-3,NA,3.6.1
colorspace,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.4-1,NA,3.6.0
cowplot,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.9.4,NA,3.6.0
crayon,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.3.4,NA,3.6.0
curl,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.3,NA,3.6.0
cvAUC,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.1.0,NA,3.6.2
data.table,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.12.2,NA,3.6.0
DBI,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.0.0,NA,3.6.0
dbplyr,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.4.0,NA,3.6.0
DEoptimR,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.0-8,NA,3.6.0
desc,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.2.0,NA,3.6.0
devtools,C:/Users/aturnbu2/Documents/R/win-library/3.6,2.0.2,NA,3.6.0
digest,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.6.19,NA,3.6.0
dplyr,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.8.1,NA,3.6.0
e1071,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.7-1,NA,3.6.0
earth,C:/Users/aturnbu2/Documents/R/win-library/3.6,5.1.2,NA,3.6.2
ellipsis,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.1.0,NA,3.6.0
evaluate,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.14,NA,3.6.0
exact2x2,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.6.3.1,NA,3.6.1
exactci,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.3-3,NA,3.6.0
exactRankTests,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.8-30,NA,3.6.0
expm,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.999-4,NA,3.6.2
fansi,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.4.0,NA,3.6.0
fit.models,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.5-14,NA,3.6.0
forcats,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.4.0,NA,3.6.0
foreach,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.4.7,NA,3.6.2
Formula,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.2-3,NA,3.6.0
fs,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.3.1,NA,3.6.2
gam,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.16.1,NA,3.6.2
gdata,C:/Users/aturnbu2/Documents/R/win-library/3.6,2.18.0,NA,3.6.0
generics,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.0.2,NA,3.6.0
ggbeeswarm,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.6.0,NA,3.6.1
ggjoy,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.4.1,NA,3.6.1
ggplot2,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.2.1,NA,3.6.2
ggpubr,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.2.1,NA,3.6.0
ggrepel,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.8.1,NA,3.6.0
ggridges,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.5.1,NA,3.6.1
ggsci,C:/Users/aturnbu2/Documents/R/win-library/3.6,2.9,NA,3.6.0
ggsignif,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.5.0,NA,3.6.0
gh,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.0.1,NA,3.6.0
git2r,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.25.2,NA,3.6.0
glmnet,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.0-2,NA,3.6.2
glue,C:/Users/aturnbu2/Documents/R/win-library/3.6,1.3.1,NA,3.6.0
gmodels,C:/Users/aturnbu2/Documents/R/win-library/3.6,2.18.1,NA,3.6.0
gower,C:/Users/aturnbu2/Documents/R/win-library/3.6,0.2.1,NA,3.6.1
gplots,C:/Users/aturnbu2/Documents/R/win-library/3.6,3.0.1.1,NA,3.6.2
